date,ticker,open,high,low,close,volume
2025-01-02,  ^gspc  ,5903.259765625,5935.08984375,5829.52978515625,"$5,868.55","3,621,680,000"
2025-01-03,  ^gspc  ,5891.06982421875,5949.33984375,5888.66015625,"$5,942.47","3,667,340,000"
2025-01-06,  ^gspc  ,5982.81005859375,6021.0400390625,5960.009765625,"$5,975.38","4,940,120,000"
2025-01-07,  ^gspc  ,5993.259765625,6000.68017578125,5890.68017578125,"$5,909.03","4,517,330,000"
2025-01-08,  ^gspc  ,5910.66015625,5927.89013671875,5874.77978515625,,"4,441,740,000"
2025-01-10,  ^gspc  ,5890.35009765625,5890.35009765625,5807.77978515625,"$5,827.04","4,751,930,000"
2025-01-13,  ^gspc  ,5782.02001953125,5838.60986328125,5773.31005859375,"$5,836.22","4,421,200,000"
2025-01-14,  ^gspc  ,5859.27001953125,5871.919921875,5805.419921875,"$5,842.91","4,142,280,000"
2025-01-15,  ^gspc  ,5905.2099609375,5960.60986328125,5905.2099609375,"$5,949.91","4,544,570,000"
2025-01-16,  ^gspc  ,5963.60986328125,5964.68994140625,5930.72021484375,"$5,937.34",
2025-01-17,  ^gspc  ,5995.39990234375,6014.9599609375,5978.43994140625,"$5,996.66","4,366,830,000"
2025-01-21,  ^gspc  ,6014.1201171875,6051.509765625,6006.8798828125,"$6,049.24","4,702,920,000"
2025-01-22,  ^gspc  ,6081.39013671875,6100.81005859375,6076.1298828125,"$6,086.37","4,323,040,000"
2025-01-23,  ^gspc  ,6076.31982421875,6118.72998046875,6074.669921875,"$6,118.71","4,432,250,000"
2025-01-24,  ^gspc  ,6121.43017578125,6128.18017578125,6088.740234375,"$6,101.24","4,214,250,000"
not-a-date,  ^gspc  ,5969.0400390625,6017.169921875,5962.919921875,"$6,012.28","5,198,750,000"
2025-01-28,  ^gspc  ,6026.97021484375,6074.5400390625,5994.6298828125,"$6,067.70","4,473,640,000"
2025-01-29,  ^gspc  ,6057.7001953125,6062.830078125,6012.9599609375,"$6,039.31","4,115,310,000"
2025-01-30,  ^gspc  ,6050.75,6086.64013671875,6027.4599609375,"$6,071.17","4,634,620,000"
2025-01-31,  ^gspc  ,6096.7900390625,6120.91015625,6030.93017578125,"$6,040.53","4,843,770,000"
