treatment,observations,slope,intercept,r2,mae,return_mean,return_std
all_data,18,-0.0016746329869145728,0.0018515158552417058,0.03483806385857302,0.006577164013142619,0.001635649921146392,0.007717282667830072
filtered_iqr,18,-0.0016746329869145728,0.0018515158552417058,0.03483806385857302,0.006577164013142619,0.001635649921146392,0.007717282667830072
winsorized_5_95,18,-0.0017597160750015446,0.0016780252544044004,0.04602019092648846,0.006204374376040402,0.0014511918185166805,0.007055700942879774
