treatment,observations,slope,intercept,r2,mae,residual_std
all_data,115,0.6058687478180388,0.0002006627418449236,0.9618587071554076,0.0039509870018808665,0.00489572685340942
filtered_iqr,106,0.5896788395551325,-4.88346503029787e-05,0.5735657615926337,0.0038505532152467597,0.004801345511454199
winsorized_5_95,115,0.6497050311120073,-1.748486925645006e-05,0.6894439952247968,0.003741494059803392,0.004632200696323091
