date,ticker,open,high,low,close,volume,daily_return,close_minmax,volume_zscore,outlier_iqr,outlier_zscore,return_zscore
2025-01-03,^GSPC,5891.06982421875,5949.33984375,5888.66015625,5942.47,3667340000,0.012595956411720177,0.39575547708026093,-2.184068610386635,False,False,1.4202287206949722
2025-01-06,^GSPC,5982.81005859375,6021.0400390625,5960.009765625,5975.38,4940120000,0.005538101159955344,0.5085884732745924,1.6123366763265154,False,False,0.5056768563210131
2025-01-07,^GSPC,5993.259765625,6000.68017578125,5890.68017578125,5909.03,4517330000,-0.011103896321238205,0.28110535879589804,0.35125291387781815,False,False,-1.6507813424393682
2025-01-08,^GSPC,5910.66015625,5927.89013671875,5874.77978515625,5881.7,4441740000,-0.004625124597438135,0.1874035725305987,0.12578560953406118,False,False,-0.8112667098074454
2025-01-10,^GSPC,5890.35009765625,5890.35009765625,5807.77978515625,5827.04,4751930000,-0.009293231548701875,0.0,1.0510098870097853,False,False,-1.4161566888570667
2025-01-13,^GSPC,5782.02001953125,5838.60986328125,5773.31005859375,5836.22,4421200000,0.0015754139322881056,0.031473926012274944,0.06451958980630924,False,False,-0.00780533659980911
2025-01-14,^GSPC,5859.27001953125,5871.919921875,5805.419921875,5842.91,4142280000,0.001146289893115604,0.0544108067336353,-0.7674335855814497,False,False,-0.06341092442689872
2025-01-15,^GSPC,5905.2099609375,5960.60986328125,5905.2099609375,5949.91,4544570000,0.018312792769356268,0.4212637569856348,0.4325034677913509,False,False,2.161012310424949
2025-01-16,^GSPC,5963.60986328125,5964.68994140625,5930.72021484375,5937.34,4436995000,-0.002112636997870454,0.378167106661639,0.11163238345771342,False,False,-0.4857003533953462
2025-01-17,^GSPC,5995.39990234375,6014.9599609375,5978.43994140625,5996.66,4366830000,0.009991006073426734,0.5815476394555468,-0.09765341372815388,False,False,1.0826811083530885
2025-01-21,^GSPC,6014.1201171875,6051.509765625,6006.8798828125,6049.24,4702920000,0.00876821430596375,0.7618198649158288,0.9048245108239468,False,False,0.9242326207059715
2025-01-22,^GSPC,6081.39013671875,6100.81005859375,6076.1298828125,6086.37,4323040000,0.006137961132307579,0.8891212671855158,-0.22826874984686163,False,False,0.5834062849517389
2025-01-23,^GSPC,6076.31982421875,6118.72998046875,6074.669921875,6118.71,4432250000,0.00531351199483443,1.0,0.09747915738136566,False,False,0.4765747520198286
2025-01-24,^GSPC,6121.43017578125,6128.18017578125,6088.740234375,6101.24,4214250000,-0.0028551769899211044,0.9401035416738068,-0.5527638952306071,False,False,-0.5819181575125868
2025-01-28,^GSPC,6026.97021484375,6074.5400390625,5994.6298828125,6067.7,4473640000,-0.005497243183352873,0.8251105701649131,0.22093585438874894,False,False,-0.924275215968586
2025-01-29,^GSPC,6057.7001953125,6062.830078125,6012.9599609375,6039.31,4115310000,-0.004678873378710091,0.7277745397195474,-0.8478787925949585,False,False,-0.818231438661555
2025-01-30,^GSPC,6050.75,6086.64013671875,6027.4599609375,6071.17,4634620000,0.0052754370946348494,0.8370075770562622,0.7011015727808378,False,False,0.4716410335286947
2025-01-31,^GSPC,6096.7900390625,6120.91015625,6030.93017578125,6040.53,4843770000,-0.005046803169735048,0.7319573490588667,1.3249471436698017,False,False,-0.8659075193315935
