market_regime,sp500_close_mean,sp500_close_median,sp500_close_min,sp500_close_max,vix_mean,vix_median,vix_min,vix_max,treasury_10y_mean,treasury_10y_median,treasury_10y_min,treasury_10y_max
Elevated,6002.8,5989.0,5942,6078,17.660000000000004,17.8,16.8,18.6,4.2,4.21,4.14,4.24
Normal,6060.428571428572,6058.0,6001,6115,15.9,16.0,14.9,17.2,4.154285714285714,4.16,4.1,4.2
