,count,mean,std,min,25%,50%,75%,max
sp500_close,12.0,6036.416666666667,53.46784646926231,5942.0,5998.0,6041.0,6073.5,6115.0
vix,12.0,16.633333333333336,1.1796250046159382,14.9,15.85,16.6,17.35,18.6
treasury_10y,12.0,4.173333333333333,0.04163331998932272,4.1,4.1475,4.175,4.202500000000001,4.24
