date,ticker,open,high,low,close,volume
2025-01-02 14:30:00,^GSPC,5903.259765625,5935.08984375,5829.52978515625,5868.5498046875,3621680000
2025-01-03 14:30:00,^GSPC,5891.06982421875,5949.33984375,5888.66015625,5942.47021484375,3667340000
2025-01-06 14:30:00,^GSPC,5982.81005859375,6021.0400390625,5960.009765625,5975.3798828125,4940120000
2025-01-07 14:30:00,^GSPC,5993.259765625,6000.68017578125,5890.68017578125,5909.02978515625,4517330000
2025-01-08 14:30:00,^GSPC,5910.66015625,5927.89013671875,5874.77978515625,5918.25,4441740000
2025-01-10 14:30:00,^GSPC,5890.35009765625,5890.35009765625,5807.77978515625,5827.0400390625,4751930000
2025-01-13 14:30:00,^GSPC,5782.02001953125,5838.60986328125,5773.31005859375,5836.22021484375,4421200000
2025-01-14 14:30:00,^GSPC,5859.27001953125,5871.919921875,5805.419921875,5842.91015625,4142280000
2025-01-15 14:30:00,^GSPC,5905.2099609375,5960.60986328125,5905.2099609375,5949.91015625,4544570000
2025-01-16 14:30:00,^GSPC,5963.60986328125,5964.68994140625,5930.72021484375,5937.33984375,4285810000
2025-01-17 14:30:00,^GSPC,5995.39990234375,6014.9599609375,5978.43994140625,5996.66015625,4366830000
2025-01-21 14:30:00,^GSPC,6014.1201171875,6051.509765625,6006.8798828125,6049.240234375,4702920000
2025-01-22 14:30:00,^GSPC,6081.39013671875,6100.81005859375,6076.1298828125,6086.3701171875,4323040000
2025-01-23 14:30:00,^GSPC,6076.31982421875,6118.72998046875,6074.669921875,6118.7099609375,4432250000
2025-01-24 14:30:00,^GSPC,6121.43017578125,6128.18017578125,6088.740234375,6101.240234375,4214250000
2025-01-27 14:30:00,^GSPC,5969.0400390625,6017.169921875,5962.919921875,6012.27978515625,5198750000
2025-01-28 14:30:00,^GSPC,6026.97021484375,6074.5400390625,5994.6298828125,6067.7001953125,4473640000
2025-01-29 14:30:00,^GSPC,6057.7001953125,6062.830078125,6012.9599609375,6039.31005859375,4115310000
2025-01-30 14:30:00,^GSPC,6050.75,6086.64013671875,6027.4599609375,6071.169921875,4634620000
2025-01-31 14:30:00,^GSPC,6096.7900390625,6120.91015625,6030.93017578125,6040.52978515625,4843770000
