scenario_label,return,volatility,sharpe,return_delta_pp,volatility_delta_pp,sharpe_delta,return_change_pct
Baseline,0.12,0.18,0.56,0.0,0.0,0.0,0.0
Mean imputation,0.11,0.185,0.49,-0.9999999999999996,0.5000000000000004,-0.07000000000000006,-8.333333333333325
3σ outlier rule,0.135,0.19,0.61,1.5000000000000013,1.0000000000000009,0.04999999999999993,12.500000000000021
