,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
close,18.0,5981.829444444445,95.53821597370293,5827.04,5916.1075,5986.02,6063.085,6118.71,-0.24922809158584897,-1.230167412485504
volume,18.0,4442785277.777778,296731967.55991274,3667340000.0,4333987500.0,4439367500.0,4612107500.0,4940120000.0,-0.6937434964560413,0.9079251431232316
daily_return,18.0,0.001635649921146392,0.00794101835206598,-0.011103896321238205,-0.004665436183392102,0.0013608519127018548,0.00598799613921952,0.018312792769356268,0.2991712585949132,-0.663611995820026
close_minmax,18.0,0.5307006015169345,0.3275558541286485,0.0,0.3053707957623333,0.5450680563650696,0.809287893852642,1.0,-0.2492280915858453,-1.2301674124855055
volume_zscore,18.0,0.12890342885997716,0.8850821118977733,-2.184068610386635,-0.1956149158171847,0.1187089964958873,0.6339520465334662,1.6123366763265154,-0.6937434964560419,0.9079251431232311
