,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
close,18.0,5987.625,92.21312425731008,5827.04,5938.6225,5991.34,6063.085,6118.71,-0.4307156483524969,-0.881185243535787
volume,18.0,4442785277.777778,296731967.55991274,3667340000.0,4333987500.0,4439367500.0,4612107500.0,4940120000.0,-0.7584721790994295,1.6469159217866824
daily_return,18.0,0.0016572621037361543,0.010398235192302735,-0.026558548083701727,-0.004222949281512844,0.0034254255134614775,0.008110651012549708,0.018312792769356268,-1.0021755783820379,2.0058031136875396
close_minmax,18.0,0.55057085061885,0.31615566996026356,0.0,0.3825641992662947,0.5633078479103101,0.809287893852641,1.0,-0.43071564835249637,-0.8811852435357879
volume_zscore,18.0,0.12890342885997716,0.8850821118977733,-2.184068610386635,-0.1956149158171847,0.1187089964958873,0.6339520465334662,1.6123366763265154,-0.7584721790994304,1.6469159217866833
