date,actual,naive_last_5d_realized_vol,linear_regression,ridge,random_forest,selected_prediction,selected_residual
2024-11-29,0.0026152614648524,0.0034782996675853,0.004523887762258325,0.004527073819833349,0.005476601250684341,0.004527073819833349,-0.0019118123549809493
2024-12-02,0.0041013265932581,0.0034632155242387,0.003642426623062598,0.003648004219847239,0.005618286841775721,0.003648004219847239,0.0004533223734108612
2024-12-03,0.0042824531633016,0.0035520757983157,0.0038513784299129064,0.00385744158365358,0.005487411825742769,0.00385744158365358,0.00042501157964802
2024-12-04,0.0049582119832368,0.0036212902460052,0.004124306101006863,0.0041301027666233465,0.005666683642660276,0.0041301027666233465,0.0008281092166134534
2024-12-05,0.0053995126074716,0.0030185389508324,0.003968437018586492,0.003972262052476143,0.005718259626756161,0.003972262052476143,0.0014272505549954573
2024-12-06,0.0051842134060286,0.0026152614648524,0.0037778975424466585,0.003778070189019856,0.005487645255066108,0.003778070189019856,0.0014061432170087438
2024-12-09,0.0048306580544556,0.0041013265932581,0.0054329498051678,0.005433420511958805,0.0062751361140362255,0.005433420511958805,-0.0006027624575032052
2024-12-10,0.0049787977316505,0.0042824531633016,0.005414914566086301,0.005415001770572201,0.005782279053494149,0.005415001770572201,-0.00043620403892170086
2024-12-11,0.0116921701124186,0.0049582119832368,0.004999586796487527,0.005001063875468916,0.005617800856411117,0.005001063875468916,0.006691106236949684
2024-12-12,0.0119541920062875,0.0053995126074716,0.005112748446297798,0.005114682666676718,0.006005339554721049,0.005114682666676718,0.006839509339610783
2024-12-13,0.0137230618008656,0.0051842134060286,0.005428650598875463,0.005431087339458934,0.005670083784194797,0.005431087339458934,0.008291974461406665
2024-12-16,0.0141783542623198,0.0048306580544556,0.005962043490499272,0.005962932860382892,0.006917643684238206,0.005962932860382892,0.008215421401936908
2024-12-17,0.0152544588814906,0.0049787977316505,0.006309590868406507,0.006306571951961276,0.006813427886070233,0.006306571951961276,0.008947886929529324
2024-12-18,0.005255450018112,0.0116921701124186,0.016516673713738265,0.016512744716725064,0.014912650280118483,0.016512744716725064,-0.011257294698613064
2024-12-19,0.0083982493475816,0.0119541920062875,0.012069186631235358,0.01206068424179036,0.013807302288098004,0.01206068424179036,-0.00366243489420876
2024-12-20,0.0090447170421689,0.0137230618008656,0.007889604707913783,0.007887367252998306,0.009121320177536474,0.007887367252998306,0.0011573497891705937
2024-12-23,0.0081211224943022,0.0141783542623198,0.007668925353895267,0.007672500448731117,0.008566870978019291,0.007672500448731117,0.0004486220455710826
2024-12-24,0.0043775370000774,0.0152544588814906,0.006461703915172107,0.006468715218919428,0.007137602217434099,0.006468715218919428,-0.002091178218842028
2024-12-26,0.0085978468269964,0.005255450018112,0.006589866045223429,0.006585923575014282,0.005795673995061528,0.006585923575014282,0.002011923251982117
2024-12-27,0.0080869920400661,0.0083982493475816,0.007307768076803552,0.007304797510884272,0.0061276049752512956,0.007304797510884272,0.0007821945291818268
2024-12-30,0.0081960662937984,0.0090447170421689,0.00879881247910336,0.008795881368718346,0.008769763911407337,0.008795881368718346,-0.0005998150749199453
2024-12-31,0.0078981049339157,0.0081211224943022,0.008552176286484579,0.008548297565924656,0.008709613057310918,0.008548297565924656,-0.0006501926320089564
2025-01-02,0.0104237675920804,0.0043775370000774,0.00877009733053016,0.008761859429758025,0.008937548182778294,0.008761859429758025,0.0016619081623223762
2025-01-03,0.008157659386763,0.0085978468269964,0.006865489648159055,0.006869720403389811,0.006806807702801141,0.006869720403389811,0.0012879389833731882
2025-01-06,0.0073236724488114,0.0080869920400661,0.006395242401290487,0.006398977817655823,0.006606543057914742,0.006398977817655823,0.0009246946311555768
2025-01-07,0.0106657214024537,0.0081960662937984,0.0077709911824320925,0.007773323378609818,0.008501604597942868,0.007773323378609818,0.0028923980238438817
2025-01-08,0.0107579950476633,0.0078981049339157,0.0076631513550955155,0.0076647511185204764,0.008425811334800961,0.0076647511185204764,0.0030932439291428233
