scenario,n,selected_MAE,naive_MAE,MAE_improvement_vs_naive,selected_bias
All test observations,430,0.002774270856295324,0.0038548789743183425,0.28032219045582424,0.00016831973386063654
Low/normal VIX regime,366,0.002445862836801508,0.003308120232159845,0.26064874758054857,0.0003224759908150167
High VIX regime,64,0.0046523542177755815,0.006981655531037251,0.3336316584091925,-0.0007132613605972241
High realized-volatility regime,85,0.004098343583217169,0.007611984884547189,0.46159331036809265,-0.000876248676434502
