model,MAE,RMSE,R2,MAE_improvement_vs_naive,RMSE_improvement_vs_naive
naive_last_5d_realized_vol,0.0038548789743183425,0.0063417627376447195,-0.175609827130895,0.0,0.0
linear_regression,0.0027750629178757993,0.004688283473454828,0.3575032218802251,0.28011672056020565,0.26072865425488634
ridge,0.002774270856295324,0.004687927196891759,0.3576008686405133,0.28032219045582424,0.2607848336765721
random_forest,0.0035320902342614374,0.0065545552635913554,-0.25582662681384116,0.08373511651270032,-0.03355416068839961
