subgroup,n,selected_MAE,selected_RMSE,selected_bias,naive_MAE,MAE_improvement_vs_naive
All final-test observations,430,0.0035662288333449975,0.006570991690578831,-0.0010627597226919453,0.0038548789743183425,0.07487917075902156
Low/normal VIX regime,366,0.0027145761016017793,0.004223726868328756,-0.0005449642211272672,0.003308120232159845,0.17942036229153183
High VIX regime,64,0.008436617893001527,0.013714225474892074,-0.004023902747264947,0.006981655531037251,-0.2083979015430048
High realized-volatility regime,85,0.006645629412535657,0.012011968522470684,-0.0026585332649642747,0.007611984884547189,0.1269518380118299
