scenario,n,mae,rmse,bias,slope_x,quadratic_coef,mae_change_vs_baseline_pct
Mean imputation + linear,180,1.2783168286969495,2.081919008149322,-4.3027310109917175e-15,2.1302362713251,,0.0
Median imputation + linear,180,1.283953991540887,2.087956728544364,3.1184931180582174e-15,2.12929027475983,,0.4409832302437744
Complete-case + linear,171,1.0646032921970057,1.6218604879948866,-1.2154020480106977e-15,2.1302362713251,,-16.718354300145798
Mean imputation + quadratic,180,1.2781111697912677,2.0777542367421202,-1.1378552421269383e-14,2.2935067951181574,-0.0183299758957954,-0.016088257704582887
